date,unemployment_rate,nonfarm_payroll_employees,labor_force_participation_rate_major_industry,average_hourly_earnings,construction_and_manufacturing,retail,healthcare,technology,finance,realEstate
2020-01-01,3.6,150057,63.3,28.43,827.6,181.8,20724.7,2901,6487.3,2346.0
2020-02-01,3.5,150966,63.3,28.54,835.5,180.4,20771.0,2910,6506.7,2364.5
2020-03-01,4.4,149952,62.6,28.74,831.9,181.4,20655.7,2902,6511.3,2343.6
2020-04-01,14.8,130252,60.1,30.04,708.4,168.9,18485.0,2643,6467.8,2122.4
2020-05-01,13.2,133421,60.8,29.72,772.1,168.3,18864.3,2609,6471.7,2135.3
2020-06-01,11.0,138507,61.5,29.38,794.3,169.8,19344.5,2622,6469.3,2153.1
2020-07-01,10.2,139105,61.5,29.39,803.7,170.1,19525.4,2622,6466.6,2156.1
2020-08-01,8.4,140728,61.7,29.5,811.4,171.0,19653.2,2640,6474.9,2171.7
2020-09-01,7.8,141957,61.4,29.51,820.3,171.2,19766.3,2695,6488.9,2185.2
2020-10-01,6.9,143565,61.7,29.55,827.3,170.6,19853.3,2684,6500.0,2192.4
2020-11-01,6.7,144117,61.5,29.64,828.7,170.2,19909.2,2696,6507.3,2196.8
2020-12-01,6.7,143604,61.5,29.91,836.2,171.8,19966.8,2712,6511.2,2206.5
2021-01-01,6.4,140975,61.4,29.92,841.9,172.5,19897.9,2750,6516.1,2212.4
2021-02-01,6.2,142129,61.4,30.07,844.8,173.6,19938.6,2767,6513.6,2213.3
2021-03-01,6.1,143308,61.5,30.04,856.1,173.8,20019.9,2774,6521.3,2217.0
2021-04-01,6.1,144403,61.6,30.23,853.3,174.3,20056.2,2796,6522.8,2232.0
2021-05-01,5.8,145391,61.6,30.41,854.2,175.3,20074.7,2818,6521.3,2240.9
2021-06-01,5.9,146627,61.7,30.55,859.0,175.4,20069.9,2837,6517.7,2251.1
2021-07-01,5.4,146619,61.8,30.66,868.6,176.1,20086.6,2872,6534.3,2269.1
2021-08-01,5.1,147159,61.7,30.79,875.9,176.6,20086.3,2900,6542.7,2278.3
2021-09-01,4.7,147918,61.7,30.96,881.6,177.5,20083.5,2916,6558.6,2288.2
2021-10-01,4.5,149606,61.8,31.15,881.9,178.4,20122.6,2933,6574.4,2302.2
2021-11-01,4.2,150543,61.9,31.25,890.3,179.1,20152.9,2949,6592.7,2315.2
2021-12-01,3.9,150740,62.0,31.41,895.5,180.2,20181.5,2961,6610.1,2323.5
2022-01-01,4.0,147932,62.2,31.62,901.1,179.2,20166.0,2984,6616.7,2318.4
2022-02-01,3.8,149606,62.2,31.66,908.4,181.3,20253.8,2994,6641.0,2344.4
2022-03-01,3.7,150413,62.3,31.82,911.0,182.3,20312.9,3024,6650.1,2354.1
